Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
816597;1.9797222222222222;48.916111111111114;"48°54'58.000""N 1°58'47.000""E";78466;"";R DU CHATEAU ROUGE;78630;ORGEVAL;pylône arbre;31.0;HIVORY
816603;1.7108333333333334;48.98027777777778;"48°58'49.000""N 1°42'39.000""E";78362;"";"4/6/8 R DE L'ILE DE FRANCE";78711;MANTES LA VILLE;Immeuble;16.8;Société HLM
816605;1.7094444444444445;48.99722222222222;"48°59'50.000""N 1°42'34.000""E";78361;"";18 R MAURICE BRAUNSTEIN;78200;MANTES LA JOLIE;Immeuble;21.0;Société HLM
816615;2.078611111111111;48.98111111111111;"48°58'52.000""N 2°4'43.000""E";78005;LES HAUTES PLAINES;CHEM RURAL N°2;78260;ACHERES;Pylône autostable;25.0;TOTEM
816626;1.682777777777778;48.92444444444445;"48°55'28.000""N 1°40'58.000""E";78677;"";R DES LIMONS;78930;VILLETTE;Pylône autostable;28.0;TOTEM
816630;2.0719444444444446;48.799166666666665;"48°47'57.000""N 2°4'19.000""E";78545;"";7 PL P SEMARD;78210;SAINT CYR L ECOLE;Immeuble;19.0;Société Privée
816634;2.158611111111111;48.9;"48°54'0.000""N 2°9'31.000""E";78146;"";1 ET 3 ALL CIRCULAIRE;78400;CHATOU;Immeuble;21.0;Société HLM
816636;1.718888888888889;48.979166666666664;"48°58'45.000""N 1°43'8.000""E";78362;"";RTE DES SOUPIRS STADE DES FLEURIERS;78711;MANTES LA VILLE;Pylône tubulaire;30.0;TOTEM
816641;2.2075;48.778888888888886;"48°46'44.000""N 2°12'27.000""E";78640;AUTOROUTE A86;"AV DE L'EUROPE A86 SENS CRÉTEIL-N12 PR 6,550";78140;VELIZY VILLACOUBLAY;Pylône tubulaire;12.0;TOTEM
816651;2.1527777777777777;48.78638888888889;"48°47'11.000""N 2°9'10.000""E";78646;"";R RÉMONT - A.86 ECH VERSAILLES;78000;VERSAILLES;Pylône tubulaire;12.0;ORANGE
816654;2.151666666666667;48.84861111111111;"48°50'55.000""N 2°9'6.000""E";78126;"";6 AV GUYNEMER;78170;CELLE SAINT CLOUD;Immeuble;23.1;"Copropriété, Syndic, SCI"
816662;1.9627777777777777;48.742777777777775;"48°44'34.000""N 1°57'46.000""E";78397;"";R RAYMOND BERRURIER EGLISE DU MESNIL ST DENIS;78320;MESNIL SAINT DENIS;Monument religieux;34.0;"Commune, communauté de commune"
816664;2.1133333333333333;48.868611111111115;"48°52'7.000""N 2°6'48.000""E";78350;"";7 ALLÉE DES ANGELARDS RN 186;78430;LOUVECIENNES;Pylône autostable;29.2;HIVORY
816666;1.8994444444444445;48.81361111111111;"48°48'49.000""N 1°53'58.000""E";78442;"";"PL DE L'ÉGLISE";78640;NEAUPHLE LE CHATEAU;Monument religieux;26.0;"Commune, communauté de commune"
816670;1.9705555555555556;48.85944444444444;"48°51'34.000""N 1°58'14.000""E";78233;LES BOISSEAUX;V.C.N°5;78810;FEUCHEROLLES;Pylône autostable;23.0;TOTEM
816672;2.062777777777778;48.76083333333333;"48°45'39.000""N 2°3'46.000""E";78688;"";R RENÉ CAUDRON;78960;VOISINS LE BRETONNEUX;Pylône haubané;21.1;ORANGE
816674;2.1444444444444444;48.94694444444445;"48°56'49.000""N 2°8'40.000""E";78358;"";R DU FOSSÉ ADM. : 16 R JEAN MERMOZ;78600;MAISONS LAFFITTE;Bâtiment;19.0;ORANGE Services Fixes
816676;2.183333333333333;48.92472222222222;"48°55'29.000""N 2°11'0.000""E";78311;"";50 R HOCHE BÂTIMENT C;78800;HOUILLES;Immeuble;35.3;"Copropriété, Syndic, SCI"
816678;2.2225;48.77777777777778;"48°46'40.000""N 2°13'21.000""E";78640;"";ECH N118 SUD VERS A86 PR7.6;78140;VELIZY VILLACOUBLAY;"Ouvrage d'art (pont, viaduc)";10.5;DDE
816680;2.05;48.80444444444444;"48°48'16.000""N 2°3'0.000""E";78545;TUNNEL A12;A.12 - PR 5.6 - TUNNEL DE ST-CYR SENS INTÉRIEUR - PRÈS DE LA R LE CORBUSIER;78210;SAINT CYR L ECOLE;Tunnel;12.0;DDE
816682;1.951111111111111;48.7975;"48°47'51.000""N 1°57'4.000""E";78490;"";"AV D'ARMORIQUE";78370;PLAISIR;Pylône tubulaire;23.0;TOTEM
816684;2.0180555555555557;48.6875;"48°41'15.000""N 2°1'5.000""E";78162;"";D.41 - EGLISE;78460;CHOISEL;Monument religieux;29.0;"Commune, communauté de commune"
816690;1.9458333333333333;48.717777777777776;"48°43'4.000""N 1°56'45.000""E";78334;GIROUARD;HARAS DE LA GIRE;78320;LEVIS SAINT NOM;Pylône autostable;30.0;TOTEM
816692;2.075277777777778;48.79361111111111;"48°47'37.000""N 2°4'31.000""E";78646;PORTE DU BOIS ROBERT;"R.N. 286 - SORTIE ST CYR L'ÉCOLE";78000;VERSAILLES;Pylône tubulaire;15.0;TOTEM
